Symbol,Entry Time,Entry Price,Exit Time,Exit Price,Outcome,P/L %
ETHUSDT,2025-08-07 13:50:30,115024.61,2025-08-07 13:50:56,3719.54,Loss,-96.76630940109251
SOLUSDT,2025-08-07 13:51:04,170.07,2025-08-07 14:00:34,169.97,Loss,-0.0587993179279087
